#	k	correction_coeff	info_depth (Angstroms)
0.333193988	1.1213910380414878	97390.58960715232
0.450340956	1.123481106025257	97398.56452131018
0.543002903	1.1254437585496242	97406.56197229201
0.621804535	1.1274868668949038	97414.5373977381
0.691871345	1.129676270062068	97422.53535428784
0.755467474	1.132615149639791	97430.53357409728
0.81395328	1.135818463404819	97438.50977835996
0.868657053	1.1394021267410548	97446.508511007
0.920114219	1.1429528960942217	97454.50749803746
0.968842268	1.1472261140777826	97462.50674789403
1.01523423	1.1515113103893362	97470.50625823108
1.0592339	1.1562624593181796	97478.43916487756
1.1011281	1.1609056539106455	97486.3054625393
1.14215946	1.1650409810109525	97494.30573263418
1.18176711	1.1694264438337072	97502.30627124956
1.22008955	1.173645376011373	97510.30704418352
1.25724459	1.1775984535029187	97518.30811259028
1.29333246	1.1815621293319585	97526.30938974905
1.32844043	1.1848648718864734	97534.31094405054
1.36264408	1.1876513067380874	97542.31273702897
1.40461564	1.190190309628667	97552.41010840223
1.46264982	1.1927017420190142	97566.87704101174
1.52007079	1.1931089680222313	97581.76836732245
1.57727063	1.191658795274661	97597.17332687213
1.63380206	1.189197746233229	97612.95830317515
1.68988359	1.1864073157594412	97629.16787233102
1.74585271	1.1831684747229863	97645.89142863231
1.80122149	1.1813081228165248	97662.97288792398
1.85632002	1.179541839928045	97680.50156406384
1.91130579	1.1794408494283493	97698.52214638107
1.96592736	1.1818100612475877	97716.94549263884
2.02027774	1.1857072341073942	97735.79400262203
2.07462573	1.1901925410117897	97755.15711379256
2.12854958	1.1934514764740554	97774.87863044497
2.18231583	1.1942942292469179	97795.04792660435
2.23616529	1.192407701019526	97815.75440994091
2.28958845	1.1890053941218064	97836.79745988696
2.34277773	1.1857592164982254	97858.24374213691
2.39580345	1.1826364333083998	97880.11619334837
2.44888449	1.1799794163615411	97902.50372029381
2.50186443	1.1773270840489043	97925.33984494217
2.55469918	1.174992178957909	97948.60227415116
2.60720062	1.1734429821605163	97972.20168995808
2.65987086	1.1732134412829136	97996.3616531698
2.71260524	1.1736025710023736	98021.03751325893
2.76502943	1.1741983283547233	98046.05085267864
2.81720614	1.1758153565099785	98071.42405237336
2.86955094	1.1774216726330542	98097.35825412076
2.92165995	1.17999317878954	98123.65257238572
2.97380424	1.1825388567993962	98150.44118615438
3.0258975	1.1846227206922395	98177.6796887024
3.07794213	1.1866272026063487	98205.36812157868
3.12969446	1.1890216404249165	98233.3723407249
3.18165278	1.1909515763791476	98261.96095728842
3.23352933	1.1924868396890522	98290.97749381537
3.28517222	1.1932067171806102	98320.33284620984
3.33689952	1.1916659682197108	98350.20594166836
3.38863158	1.1888643224893647	98380.55216066373
3.44029379	1.1856159894182274	98411.32701566763
3.49170542	1.1827228749681398	98442.41865303916
3.54323959	1.1798982239697944	98474.05114890188
3.59474826	1.1779239128535852	98506.13512444812
3.64633775	1.1765844314531746	98538.73773251055
3.69779706	1.1762210486482945	98571.72513400146
3.7491653	1.1768367282067254	98605.11956893803
3.80041289	1.1780854115330819	98638.8991124774
3.85164428	1.1791002183725043	98673.13093754006
3.90295863	1.179379162573876	98707.88239013878
3.95428777	1.179154385883246	98743.10881711557
4.0055995	1.1788820083373326	98778.78827338645
4.05670452	1.1789445305335973	98814.78627741954
4.10792255	1.1796063793343496	98851.3269584095
4.15903425	1.1810344201240943	98888.25411619761
4.21016407	1.181877901619404	98925.65666287266
4.26128292	1.18109022537193	98963.51361368949
4.31224155	1.1814188553224205	99001.71231791856
4.36328077	1.1820630019264067	99040.43240975418
4.41433954	1.1836738567935978	99079.62914347793
4.46538877	1.1851036256784817	99119.28052958037
4.51628685	1.1858906130768836	99159.27460406766
4.56729126	1.1866301444727967	99199.81328866431
4.61828709	1.1873466672592412	99240.80679024776
4.66927576	1.188532769424907	99282.25625125256
4.72014761	1.1903139302318086	99324.07106065805
4.77112246	1.19116816088613	99366.4319333859
4.82201004	1.1914094044954946	99409.18118592042
4.8728137	1.1903796204764205	99452.31953023316
4.923666	1.1879728515759767	99495.95927044319
4.97451353	1.1853304190958798	99540.05539319663
5.02522945	1.182688965626547	99584.4962760155
5.07604456	1.1801641848002888	99629.48395153983
5.12690639	1.1778535632353788	99674.97418110576
5.17773867	1.1768525344131386	99720.89921759698
5.22846985	1.1761588547578459	99767.19287702348
5.27924681	1.175003400222648	99813.9886769274
5.32987738	1.1726538276726126	99861.10838573142
5.38067436	1.1701481693905547	99908.84362687591
5.43149185	1.1683477301725271	99957.06008299443
5.48211956	1.1677117868545972	100005.55616719996
5.53279352	1.1685145337605025	100054.55626420827
5.58355856	1.1705283827955262	100104.10584286718
5.63425303	1.1731080276884969	100154.04765449047
5.68492365	1.1755898025192981	100204.42669072901
5.73557138	1.1778045499810315	100255.2435233978
5.78615284	1.179306107462306	100306.453668086
5.83677864	1.1800056593735888	100358.16906858275
5.88742638	1.1791525030815222	100410.36800745853
5.9379878	1.177978451711737	100462.93829191287
5.98863602	1.178105170636399	100516.06019094188
6.03926277	1.1800528238757644	100569.62130557097
6.08984756	1.1837279486597954	100623.59935854725
6.14041233	1.1885755694164104	100678.01718333822
6.19099903	1.1911500120484002	100732.9202240591
6.24160719	1.1917758005676398	100788.30883825543
6.29215431	1.191174710291193	100844.09246590783
6.34278393	1.1898667043259574	100900.4300890743
6.39331341	1.1882702007451125	100957.11851379038
6.44378471	1.1859606400517273	101014.20292343199
6.49433756	1.1824636283891194	101071.84195898769
6.54487181	1.1773954611784598	101129.92257992255
6.59538841	1.1723394990549654	101188.445666068
6.64594555	1.1671395747890352	101247.47923270219
6.69654179	1.1623029165841088	101307.02298453034
6.74698687	1.1590033724961013	101366.85176480612
6.79747295	1.158408960034712	101427.19225541866
6.84801626	1.1610274723533662	101488.06550154899
6.89846945	1.1648641027090434	101549.2938812918
6.94897985	1.16966453801496	101611.05603428844
6.99941826	1.1740288206258513	101673.19407556081
7.04995108	1.1778123490132355	101735.91361459177
7.10044956	1.1798760930017256	101799.05598487315
7.15089512	1.1796074476040779	101862.59705352821
7.20129108	1.1779913321785362	101926.53989199548
7.25177813	1.1764214681658776	101991.06389096059
7.30223227	1.1753206806661962	102056.0116896533
7.35270643	1.1747456978513011	102121.45155660267
7.40316534	1.1739271089212029	102187.33814405656
7.45360947	1.1723120546436778	102253.67196465659
7.50405645	1.1718796435246823	102320.47635325453
7.55443764	1.1735840317938782	102387.65985800975
7.60477161	1.1770975216655541	102455.24599291802
7.65521049	1.1811778063492302	102523.44015328027
7.7056179	1.1834413914306607	102592.05929464533
7.75604534	1.183782966716695	102661.1736893248
7.80647564	1.1834594939845835	102730.760450027
7.85689163	1.182160092919969	102800.7960533235
7.90731144	1.1793242605175402	102871.30586826333
7.95773315	1.1755727236172202	102942.28762118456
8.00815773	1.1712859657086767	103013.74307747101
8.05852127	1.1675813980833425	103085.58119357626
8.10885715	1.1649906590994126	103157.84867860009
8.15927505	1.1638950767824892	103230.70409789766
8.20966434	1.1636462706332398	103303.9886739366
8.25999355	1.16446210092202	103377.65573608103
8.3104353	1.1656521199869592	103451.95902640428
8.36083317	1.1665868602429776	103526.66943696262
8.41115856	1.1667475444285011	103601.74328260552
8.46151733	1.1669543762127963	103677.33827928345
8.51192379	1.167266162174072	103753.4773950723
8.56227398	1.1678997760625562	103830.00382681978
8.61261272	1.1690920960941005	103906.98509360568
8.66295528	1.1705771597687504	103984.444791802
8.71331501	1.1716336482409544	104062.40411158092
8.7636919	1.1725359737621015	104140.86387678108
8.814044	1.1727432762005723	104219.75900114422
8.86435604	1.1727585565098009	104299.065000719
8.91471481	1.1730768388271418	104378.91913451235
8.96500397	1.1736856170226424	104459.1369583115
9.01535511	1.1744314828963343	104539.92862940887
9.06575108	1.1751412483871757	104621.26850569538
9.11607933	1.1749229515307058	104702.97497030755
9.16638374	1.1735044912919814	104785.11832874475
9.21666336	1.1714186156983335	104867.69670670989
9.26700306	1.1692593724263531	104950.8503624104
9.31731796	1.1672796314969385	105034.43995756886
9.36769104	1.1657227104903638	105118.60419583828
9.41799927	1.1650800239494195	105203.13779419343
9.46832371	1.1654935015767127	105288.17663999269
9.51863766	1.1661996013270368	105373.6760717284
9.56891537	1.1663237985575536	105459.59204151283
9.61926365	1.1651344957897827	105546.10793689462
9.66954803	1.1630603399511865	105632.9931652493
9.71985054	1.1616349379558746	105720.38918996832
9.77018166	1.161480018540509	105808.31526887834
9.82048988	1.162425067465809	105896.68188067485
9.87073708	1.163233345340881	105985.42124837017
9.92101383	1.1636658786201428	106074.69325672174
9.97132015	1.1644739803865398	106164.49917451537
10.0216417	1.1652082793552316	106254.81443268452
10.0719538	1.165583102623191	106345.59520799712
10.1222057	1.1659987266396792	106436.74931682867
10.1725006	1.1664709675715508	106528.46410075652
10.2228107	1.1668701557787335	106620.69009490602
10.2731104	1.1671916016389756	106713.38083252675
10.3233528	1.1675243943521545	106806.4493043561
10.3736353	1.1675710915927742	106900.07607910887
10.4239464	1.1674576494974154	106994.24113172821
10.4742479	1.1673210243240688	107088.87363678611
10.5245037	1.1668100081502966	107183.90527637747
10.5747757	1.1655546453078087	107279.4530721234
10.6250505	1.1637629262719889	107375.49223048217
10.6752815	1.1620814906832009	107471.93353769422
