#	k	correction_coeff 	info_depth (Angstroms)
  0.33319399       1.4691411       24347.654    
  0.45034096       1.4804585       24349.664    
  0.54300290       1.4912367       24351.635    
  0.62180454       1.5026103       24353.646    
  0.69187135       1.5149797       24355.639    
  0.75546747       1.5318769       24357.633    
  0.81395328       1.5507010       24359.627    
  0.86865705       1.5722818       24361.641    
  0.92011422       1.5942370       24363.631    
  0.96884227       1.6214432       24365.645    
   1.0152342       1.6496407       24367.637    
   1.0592339       1.6820377       24369.594    
   1.1011281       1.7149248       24371.547    
   1.1421595       1.7453079       24373.578    
   1.1817671       1.7787220       24375.576    
   1.2200896       1.8121027       24377.586    
   1.2572446       1.8445441       24379.561    
   1.2933325       1.8783007       24381.596    
   1.3284404       1.9069554       24383.590    
   1.3626441       1.9327998       24385.584    
   1.4046156       1.9564565       24388.117    
   1.4626498       1.9805431       24391.701    
   1.5200708       1.9846216       24395.443    
   1.5772706       1.9708027       24399.299    
   1.6338021       1.9476602       24403.232    
   1.6898836       1.9220814       24407.303    
   1.7458527       1.8932023       24411.469    
   1.8012215       1.8771092       24415.766    
   1.8563200       1.8620628       24420.125    
   1.9113058       1.8613344       24424.637    
   1.9659274       1.8818147       24429.246    
   2.0202777       1.9166859       24433.951    
   2.0746257       1.9582185       24438.793    
   2.1285496       1.9896979       24443.730    
   2.1823158       1.9981591       24448.766    
   2.2361653       1.9799150       24453.914    
   2.2895885       1.9477395       24459.203    
   2.3427777       1.9182160       24464.547    
   2.3958035       1.8902797       24470.025    
   2.4488845       1.8673886       24475.623    
   2.5018644       1.8450644       24481.336    
   2.5546992       1.8258752       24487.145    
   2.6072006       1.8134335       24493.035    
   2.6598709       1.8117328       24499.080    
   2.7126052       1.8150374       24505.260    
   2.7650294       1.8200206       24511.533    
   2.8172061       1.8334711       24517.832    
   2.8695509       1.8470354       24524.363    
   2.9216599       1.8690932       24530.912    
   2.9738042       1.8912959       24537.619    
   3.0258975       1.9103956       24544.424    
   3.0779421       1.9287763       24551.346    
   3.1296945       1.9512256       24558.346    
   3.1816528       1.9697937       24565.484    
   3.2335293       1.9849129       24572.754    
   3.2851722       1.9922322       24580.088    
   3.3368995       1.9774551       24587.557    
   3.3886316       1.9509673       24595.127    
   3.4402938       1.9211266       24602.832    
   3.4917054       1.8949827       24610.615    
   3.5432396       1.8707280       24618.500    
   3.5947483       1.8540889       24626.559    
   3.6463377       1.8430121       24634.693    
   3.6977971       1.8401917       24642.949    
   3.7491653       1.8455800       24651.285    
   3.8004129       1.8563846       24659.740    
   3.8516443       1.8652605       24668.293    
   3.9029586       1.8679150       24676.963    
   3.9542878       1.8662148       24685.775    
   4.0055995       1.8641230       24694.684    
   4.0567045       1.8649181       24703.709    
   4.1079226       1.8709024       24712.836    
   4.1590343       1.8835706       24722.064    
   4.2101641       1.8908234       24731.408    
   4.2612829       1.8846542       24740.893    
   4.3122416       1.8876923       24750.418    
   4.3632808       1.8943522       24760.104    
   4.4143395       1.9086628       24769.906    
   4.4653888       1.9219699       24779.830    
   4.5162868       1.9295437       24789.816    
   4.5672913       1.9367421       24799.959    
   4.6182871       1.9437857       24810.203    
   4.6692758       1.9553331       24820.564    
   4.7201476       1.9728067       24830.992    
   4.7711225       1.9814986       24841.615    
   4.8220100       1.9842395       24852.279    
   4.8728137       1.9745437       24863.088    
   4.9236660       1.9517688       24873.994    
   4.9745135       1.9273670       24885.006    
   5.0252295       1.9036014       24896.133    
   5.0760446       1.8804693       24907.381    
   5.1269064       1.8615226       24918.752    
   5.1777387       1.8532273       24930.225    
   5.2284698       1.8476770       24941.820    
   5.2792468       1.8382218       24953.494    
   5.3298774       1.8189692       24965.254    
   5.3806744       1.7988622       24977.213    
   5.4314919       1.7847807       24989.254    
   5.4821196       1.7800343       25001.395    
   5.5327935       1.7866760       25013.662    
   5.5835586       1.8031160       25026.012    
   5.6342530       1.8245761       25038.541    
   5.6849236       1.8457009       25051.131    
   5.7355714       1.8650062       25063.828    
   5.7861528       1.8787249       25076.629    
   5.8367786       1.8851995       25089.551    
   5.8874264       1.8780736       25102.592    
   5.9379878       1.8678664       25115.721    
   5.9886360       1.8692665       25129.016    
   6.0392628       1.8871633       25142.408    
   6.0898476       1.9209369       25155.908    
   6.1404123       1.9673613       25169.490    
   6.1909990       1.9932431       25183.236    
   6.2416072       2.0000145       25197.086    
   6.2921543       1.9944620       25211.021    
   6.3427839       1.9819140       25225.119    
   6.3933134       1.9667064       25239.283    
   6.4437847       1.9449180       25253.551    
   6.4943376       1.9126542       25267.986    
   6.5448718       1.8676332       25282.482    
   6.5953884       1.8246975       25297.125    
   6.6459455       1.7826200       25311.895    
   6.6965418       1.7452321       25326.746    
   6.7469869       1.7206872       25341.727    
   6.7974730       1.7165804       25356.814    
   6.8480163       1.7364740       25372.023    
   6.8984694       1.7663442       25387.342    
   6.9489799       1.8051467       25402.764    
   6.9994183       1.8420415       25418.311    
   7.0499511       1.8754494       25433.988    
   7.1004496       1.8943408       25449.752    
   7.1508951       1.8923646       25465.656    
   7.2012911       1.8783573       25481.652    
   7.2517781       1.8648549       25497.775    
   7.3022323       1.8556938       25514.008    
   7.3527064       1.8514017       25530.365    
   7.4031653       1.8441567       25546.828    
   7.4536095       1.8310938       25563.422    
   7.5040565       1.8278562       25580.102    
   7.5544376       1.8426008       25596.932    
   7.6047716       1.8739736       25613.830    
   7.6552105       1.9115090       25630.873    
   7.7056179       1.9332383       25648.029    
   7.7560453       1.9370184       25665.289    
   7.8064756       1.9344674       25682.682    
   7.8568916       1.9226999       25700.201    
   7.9073114       1.8969406       25717.813    
   7.9577332       1.8637649       25735.572    
   8.0081577       1.8270017       25753.441    
   8.0585213       1.7967139       25771.398    
   8.1088572       1.7761534       25789.467    
   8.1592751       1.7678268       25807.664    
   8.2096643       1.7662472       25825.994    
   8.2599936       1.7731293       25844.393    
   8.3104353       1.7830915       25862.982    
   8.3608332       1.7910913       25881.684    
   8.4111586       1.7928292       25900.436    
   8.4615173       1.7949508       25919.338    
   8.5119238       1.7978946       25938.369    
   8.5622740       1.8035829       25957.496    
   8.6126127       1.8139982       25976.732    
   8.6629553       1.8271809       25996.104    
   8.7133150       1.8365475       26015.604    
   8.7636919       1.8448666       26035.215    
   8.8140440       1.8471740       26054.941    
   8.8643560       1.8478078       26074.762    
   8.9147148       1.8510509       26094.754    
   8.9650040       1.8569177       26114.777    
   9.0153551       1.8640571       26134.975    
   9.0657511       1.8709350       26155.324    
   9.1160793       1.8695117       26175.729    
   9.1663837       1.8573890       26196.287    
   9.2166634       1.8396705       26216.916    
   9.2670031       1.8216665       26237.727    
   9.3173180       1.8052638       26258.625    
   9.3676910       1.7928722       26279.639    
   9.4179993       1.7880369       26300.771    
   9.4683237       1.7919159       26322.037    
   9.5186377       1.7981387       26343.416    
   9.5689154       1.7996846       26364.910    
   9.6192636       1.7903811       26386.521    
   9.6695480       1.7739269       26408.225    
   9.7198505       1.7629167       26430.090    
   9.7701817       1.7621300       26452.066    
   9.8204899       1.7701732       26474.184    
   9.8707371       1.7771538       26496.371    
   9.9210138       1.7811614       26518.660    
   9.9713202       1.7881845       26541.125    
   10.021642       1.7945982       26563.689    
   10.071954       1.7986062       26586.408    
   10.122206       1.8025742       26609.182    
   10.172501       1.8069835       26632.117    
   10.222811       1.8108934       26655.188    
   10.273110       1.8141598       26678.338    
   10.323353       1.8175430       26701.609    
   10.373635       1.8184259       26725.018    
   10.423946       1.8179910       26748.564    
   10.474248       1.8173543       26772.229    
   10.524504       1.8135601       26795.992    
   10.574776       1.8034054       26819.875    
   10.625051       1.7889484       26843.859    
   10.675282       1.7754434       26868.002    
   10.725552       1.7673568       26892.244    
   10.775849       1.7651434       26916.629    
   10.826138       1.7684788       26941.137    
   10.876395       1.7737910       26965.738    
   10.926665       1.7790966       26990.465    
   10.976954       1.7806246       27015.334    
   11.027197       1.7771084       27040.340    
   11.077478       1.7690902       27065.430    
   11.127751       1.7597113       27090.660    
   11.177995       1.7533699       27116.016    
   11.228241       1.7537904       27141.449    
   11.278479       1.7551495       27167.047    
   11.328799       1.7526287       27192.768    
   11.379044       1.7503523       27218.609    
   11.429258       1.7510705       27244.537    
   11.479510       1.7545518       27270.627    
   11.529765       1.7615585       27296.822    
   11.579990       1.7676588       27323.139    
   11.630263       1.7735575       27349.600    
   11.680539       1.7816578       27376.184    
   11.730775       1.7893504       27402.857    
   11.781024       1.7936833       27429.715    
   11.831256       1.7913368       27456.609    
   11.881523       1.7831011       27483.693    
   11.931793       1.7682956       27510.904    
   11.982013       1.7537069       27538.199    
   12.032204       1.7444755       27565.621    
   12.082431       1.7408595       27593.145    
   12.132682       1.7396779       27620.840    
   12.182904       1.7396308       27648.643    
   12.233173       1.7405348       27676.566    
   12.283456       1.7423518       27704.660    
   12.333687       1.7435112       27732.822    
   12.383893       1.7432578       27761.131    
   12.434122       1.7405930       27789.543    
   12.484324       1.7392159       27818.090    
   12.534569       1.7361730       27846.781    
   12.584838       1.7322143       27875.582    
   12.635049       1.7290677       27904.488    
   12.685254       1.7277186       27933.549    
   12.735493       1.7282099       27962.713    
   12.785764       1.7305516       27992.070    
   12.835989       1.7326139       28021.473    
   12.886196       1.7329253       28051.053    
   12.936418       1.7340859       28080.697    
   12.986631       1.7351165       28110.490    
   13.036868       1.7386233       28140.438    
   13.087090       1.7399019       28170.471    
   13.137323       1.7375866       28200.680    
   13.187531       1.7338533       28230.977    
   13.237721       1.7309331       28261.383    
   13.287936       1.7286918       28291.947    
   13.338143       1.7259064       28322.641    
   13.388374       1.7211485       28353.467    
   13.438587       1.7165841       28384.404    
   13.488833       1.7144423       28415.451    
   13.539044       1.7134671       28446.658    
   13.589249       1.7124691       28477.996    
   13.639475       1.7109956       28509.443    
   13.689667       1.7086339       28540.982    
   13.739862       1.7075336       28572.699    
   13.790080       1.7058548       28604.555    
   13.840290       1.7050228       28636.475    
   13.890532       1.7031627       28668.600    
   13.940740       1.7006379       28700.814    
   13.990950       1.6986274       28733.145    
   14.041155       1.6967766       28765.609    
   14.091327       1.6959562       28798.186    
   14.141564       1.6965913       28830.924    
   14.191742       1.6982750       28863.775    
   14.241959       1.7014722       28896.742    
   14.292170       1.7027357       28929.846    
   14.342383       1.7026759       28963.107    
   14.392574       1.7016882       28996.445    
   14.442821       1.6986203       29029.982    
   14.492981       1.6948630       29063.574    
   14.543154       1.6918547       29097.322    
   14.593356       1.6912268       29131.215    
   14.643570       1.6920080       29165.219    
   14.693814       1.6912123       29199.387    
   14.743999       1.6912385       29233.668    
   14.794169       1.6894736       29268.051    
   14.844404       1.6857270       29302.572    
   14.894589       1.6829846       29337.234    
   14.944812       1.6800511       29372.033    
   14.995021       1.6770959       29406.955    
   15.045206       1.6760732       29441.996    
   15.095370       1.6756207       29477.156    
   15.145544       1.6741328       29512.480    
